Product_ID,Product_Category,Product_Subcategory,Base_Price,Cost_Price,Profit_Margin,Seasonal_Flag,Inventory_Level,Reorder_Threshold,Lead_Time,Product_Rating,Review_Count,Return_Rate,Shipping_Weight,Size_Dimensions,Color_Variants,Size_Variants
PROD-0019,Electronics,SubCat-18,610.06,382.32,0.37,Holiday,854,139,34,2.3,3181,0.07,14.26,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0020,Home & Living,SubCat-19,79.09,41.75,0.47,Winter,1821,141,5,3.2,14369,0.09,1.83,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0021,Home & Living,SubCat-20,770.62,373.91,0.51,Holiday,790,23,19,4.4,8720,0.07,5.26,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0022,Fashion,SubCat-21,784.09,372.21,0.53,,1169,136,9,4.7,7796,0.03,6.72,,"Red,Blue,Black","S,M,L"
PROD-0023,Electronics,SubCat-22,832.1,410.66,0.51,,924,169,33,1.0,7795,0.21,24.82,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0024,Sports,SubCat-23,64.47,28.11,0.56,Back-to-School,1177,83,17,4.0,1883,0.14,10.98,,"Red,Blue,Black","S,M,L"
PROD-0025,Beauty,SubCat-24,1309.74,757.44,0.42,Back-to-School,914,129,15,3.2,2698,0.23,18.74,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0026,Sports,SubCat-25,286.89,153.65,0.46,Summer,1003,40,11,4.2,8644,0.12,24.82,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0027,Sports,SubCat-26,55.03,27.38,0.5,,312,31,44,2.7,6656,0.11,18.95,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0028,Home & Living,SubCat-27,1479.41,849.91,0.43,Holiday,565,56,27,4.5,11873,0.01,21.22,,"Red,Blue,Black","S,M,L"
PROD-0029,Home & Living,SubCat-28,788.54,504.36,0.36,Back-to-School,1362,46,42,3.3,13451,0.16,33.45,,"Red,Blue,Black","S,M,L"
PROD-0030,Fashion,SubCat-29,357.63,202.82,0.43,Holiday,495,20,22,2.2,683,0.0,14.95,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0031,Fashion,SubCat-30,50.99,21.86,0.57,Holiday,1649,63,9,4.9,8305,0.22,35.39,,"Red,Blue,Black","S,M,L"
PROD-0032,Beauty,SubCat-31,281.99,135.39,0.52,Summer,1529,24,30,3.3,2730,0.23,17.2,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0033,Sports,SubCat-32,414.76,304.94,0.26,Summer,85,139,37,1.4,2084,0.04,22.72,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0034,Electronics,SubCat-33,524.51,297.5,0.43,Winter,182,87,44,3.5,12254,0.07,23.39,,"Red,Blue,Black","S,M,L"
PROD-0035,Home & Living,SubCat-34,231.35,137.89,0.4,Winter,765,84,34,4.9,14915,0.14,19.92,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0036,Beauty,SubCat-35,1208.11,704.67,0.42,Holiday,757,168,17,4.6,14729,0.06,28.52,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0037,Electronics,SubCat-36,859.71,388.85,0.55,Summer,863,131,28,1.8,10863,0.2,20.81,,"Red,Blue,Black","S,M,L"
PROD-0038,Sports,SubCat-37,913.39,634.67,0.31,Winter,-4,26,39,3.2,9966,0.01,5.49,,"Red,Blue,Black","S,M,L"
PROD-0039,Home & Living,SubCat-38,1243.27,879.06,0.29,Holiday,1862,144,20,4.7,1307,0.17,39.62,,"Red,Blue,Black","S,M,L"
PROD-0040,Beauty,SubCat-39,769.17,524.63,0.32,Summer,1812,141,10,1.6,7794,0.13,12.02,,"Red,Blue,Black","S,M,L"
PROD-0041,Beauty,SubCat-40,669.17,441.86,0.34,,1332,120,15,3.9,4784,0.08,8.41,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0042,Home & Living,SubCat-41,522.21,266.41,0.49,Winter,1633,148,6,4.1,10074,0.03,6.43,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0043,Beauty,SubCat-42,1217.97,816.29,0.33,Holiday,1245,93,8,4.1,14092,0.21,23.59,,"Red,Blue,Black","S,M,L"
PROD-0044,Home & Living,SubCat-43,869.34,388.67,0.55,Back-to-School,1112,184,44,2.7,10140,0.15,18.84,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0045,Beauty,SubCat-44,1432.77,966.76,0.33,Holiday,1570,100,35,1.5,13199,0.25,33.66,,"Red,Blue,Black","S,M,L"
PROD-0046,Beauty,SubCat-45,124.05,88.16,0.29,Back-to-School,1371,131,15,4.8,3341,0.07,37.55,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0047,Fashion,SubCat-46,1148.76,569.5,0.5,Back-to-School,840,47,36,4.8,12786,0.01,37.94,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0048,Electronics,SubCat-47,1112.47,769.03,0.31,Winter,265,94,22,1.9,14786,0.12,36.54,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0049,Sports,SubCat-48,135.42,59.25,0.56,Winter,1424,53,37,2.8,7512,0.11,19.44,,"Red,Blue,Black","S,M,L"
PROD-0050,Home & Living,SubCat-49,463.68,305.8,0.34,Holiday,124,137,13,3.7,5073,0.03,12.0,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0051,Sports,SubCat-0,807.84,600.68,0.26,Holiday,1215,26,36,2.0,1828,0.04,39.41,,"Red,Blue,Black","S,M,L"
PROD-0052,Home & Living,SubCat-1,866.38,528.85,0.39,Back-to-School,1583,170,34,2.4,12373,0.24,16.67,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0053,Fashion,SubCat-2,1229.59,895.53,0.27,Summer,860,54,5,4.6,2172,0.2,39.53,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0054,Home & Living,SubCat-3,650.08,403.22,0.38,,1058,70,37,3.7,5208,0.15,10.29,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0055,Beauty,SubCat-4,1208.99,662.25,0.45,Back-to-School,1575,183,39,4.4,3208,0.23,34.58,,"Red,Blue,Black","S,M,L"
PROD-0056,Electronics,SubCat-5,853.68,494.24,0.42,,961,52,12,4.8,13785,0.03,20.27,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0057,Electronics,SubCat-6,1285.21,582.83,0.55,Back-to-School,1393,197,14,2.7,65,0.1,6.08,,"Red,Blue,Black","S,M,L"
PROD-0058,Fashion,SubCat-7,1260.47,819.95,0.35,Summer,1748,177,44,3.2,11511,0.05,24.55,,"Red,Blue,Black","S,M,L"
PROD-0059,Fashion,SubCat-8,1271.75,891.04,0.3,Back-to-School,222,72,32,4.5,4394,0.2,16.59,,"Red,Blue,Black","S,M,L"
PROD-0060,Beauty,SubCat-9,908.0,575.03,0.37,Winter,200,148,26,4.8,573,0.18,11.15,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0061,Sports,SubCat-10,470.33,247.53,0.47,,1759,61,20,1.7,2374,0.02,36.99,,"Red,Blue,Black","S,M,L"
PROD-0062,Electronics,SubCat-11,1228.45,597.06,0.51,Back-to-School,586,189,36,1.7,11701,0.04,32.96,,"Red,Blue,Black","S,M,L"
PROD-0063,Electronics,SubCat-12,258.13,157.7,0.39,Back-to-School,1962,51,35,3.4,13827,0.19,22.84,,"Red,Blue,Black","S,M,L"
PROD-0064,Electronics,SubCat-13,874.22,351.9,0.6,Holiday,1244,87,10,3.3,9435,0.06,28.9,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0065,Home & Living,SubCat-14,830.17,468.95,0.44,Back-to-School,1121,20,18,1.6,6083,0.08,25.39,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0066,Electronics,SubCat-15,460.32,224.77,0.51,Summer,381,31,6,1.9,11660,0.04,13.12,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0067,Sports,SubCat-16,521.13,294.67,0.43,Summer,1384,186,18,3.7,13501,0.04,27.87,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0068,Sports,SubCat-17,405.64,233.32,0.42,Back-to-School,858,29,19,4.1,619,0.2,38.45,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0069,Sports,SubCat-18,989.3,713.3,0.28,Summer,1611,31,40,1.7,3243,0.23,5.86,,"Red,Blue,Black","S,M,L"
PROD-0070,Home & Living,SubCat-19,342.52,241.35,0.3,Holiday,809,168,18,4.6,2171,0.05,13.56,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0071,Home & Living,SubCat-20,617.74,294.31,0.52,Back-to-School,80,124,30,3.3,6575,0.21,39.5,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0072,Home & Living,SubCat-21,110.21,67.44,0.39,Back-to-School,1712,171,12,3.9,5964,0.04,1.02,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0073,Electronics,SubCat-22,1365.91,991.11,0.27,Summer,745,34,19,4.5,4754,0.05,6.69,,"Red,Blue,Black","S,M,L"
PROD-0074,Beauty,SubCat-23,1443.23,923.68,0.36,,778,108,6,3.6,5792,0.16,24.05,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0075,Electronics,SubCat-24,187.47,132.55,0.29,,103,31,40,2.5,2151,0.03,0.31,,"Red,Blue,Black","S,M,L"
PROD-0076,Home & Living,SubCat-25,506.54,243.16,0.52,Winter,142,121,41,2.9,4252,0.24,6.75,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0077,Fashion,SubCat-26,919.1,472.24,0.49,Summer,822,142,41,4.5,1457,0.19,7.65,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0078,Sports,SubCat-27,685.96,362.26,0.47,Summer,1431,67,30,3.1,14389,0.13,12.58,,"Red,Blue,Black","S,M,L"
PROD-0079,Sports,SubCat-28,255.6,123.01,0.52,Holiday,1908,146,39,2.8,11012,0.22,15.65,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0080,Beauty,SubCat-29,335.0,200.18,0.4,Holiday,270,104,4,2.0,5874,0.23,35.85,,"Red,Blue,Black","S,M,L"
PROD-0081,Beauty,SubCat-30,546.43,361.87,0.34,Summer,870,52,40,3.5,10605,0.1,33.4,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0082,Home & Living,SubCat-31,407.08,255.85,0.37,Summer,1499,88,3,2.0,2568,0.09,24.35,,"Red,Blue,Black","S,M,L"
PROD-0083,Fashion,SubCat-32,1213.5,568.46,0.53,Holiday,584,23,6,3.3,2332,0.08,38.65,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0084,Electronics,SubCat-33,734.05,476.09,0.35,Winter,1810,51,34,2.9,9153,0.11,10.88,,"Red,Blue,Black","S,M,L"
PROD-0085,Electronics,SubCat-34,561.47,242.31,0.57,Summer,739,182,44,3.6,7981,0.11,26.99,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0086,Electronics,SubCat-35,1197.81,753.65,0.37,Holiday,386,189,4,4.3,12132,0.03,34.21,,"Red,Blue,Black","S,M,L"
PROD-0087,Home & Living,SubCat-36,1402.52,753.31,0.46,Winter,615,164,11,1.6,712,0.05,0.44,,"Red,Blue,Black","S,M,L"
PROD-0088,Beauty,SubCat-37,841.4,451.73,0.46,Winter,1041,77,41,3.2,12372,0.19,12.53,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0089,Fashion,SubCat-38,478.32,356.1,0.26,Summer,17,118,10,2.9,4051,0.14,27.24,,"Red,Blue,Black","S,M,L"
PROD-0090,Fashion,SubCat-39,201.34,80.93,0.6,Holiday,416,109,36,3.9,14817,0.23,30.5,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0091,Fashion,SubCat-40,23.38,12.31,0.47,Holiday,1248,193,5,2.3,1037,0.08,31.14,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0092,Electronics,SubCat-41,9.43,5.18,0.45,Holiday,1711,144,3,5.0,6818,0.04,20.05,,"Red,Blue,Black","S,M,L"
PROD-0093,Sports,SubCat-42,472.18,258.41,0.45,Summer,110,150,34,3.8,4619,0.03,37.3,,"Red,Blue,Black","S,M,L"
PROD-0094,Electronics,SubCat-43,228.39,155.35,0.32,,1895,73,8,2.3,1293,0.21,33.84,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0095,Fashion,SubCat-44,794.32,510.82,0.36,Summer,1448,130,32,3.5,3575,0.17,3.39,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0096,Electronics,SubCat-45,760.22,458.63,0.4,Holiday,1958,51,35,4.1,14234,0.18,3.75,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0097,Sports,SubCat-46,848.37,475.21,0.44,Back-to-School,523,97,32,1.5,9689,0.17,31.51,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0098,Home & Living,SubCat-47,595.16,398.3,0.33,Back-to-School,255,40,12,4.0,7566,0.07,16.01,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0099,Home & Living,SubCat-48,1177.3,539.41,0.54,,29,24,31,1.6,6412,0.19,28.71,,"Red,Blue,Black","S,M,L"
PROD-0100,Sports,SubCat-49,891.12,501.37,0.44,Holiday,1992,99,36,4.1,4352,0.22,23.3,,"Red,Blue,Black","S,M,L"
PROD-0101,Home & Living,SubCat-0,527.09,266.87,0.49,Winter,842,136,10,3.7,12209,0.07,32.41,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0102,Home & Living,SubCat-1,221.62,113.77,0.49,Holiday,1411,33,32,3.5,9029,0.06,2.35,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0103,Home & Living,SubCat-2,552.11,402.04,0.27,,1785,146,16,1.4,14115,0.1,35.07,,"Red,Blue,Black","S,M,L"
PROD-0104,Electronics,SubCat-3,861.1,384.53,0.55,Holiday,897,45,34,3.0,9529,0.14,26.49,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0105,Beauty,SubCat-4,66.63,26.71,0.6,,909,168,5,2.8,3719,0.11,16.58,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0106,Beauty,SubCat-5,1088.2,619.98,0.43,Summer,346,91,22,1.9,14713,0.23,13.14,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0107,Electronics,SubCat-6,771.62,561.12,0.27,Back-to-School,345,135,19,1.3,9625,0.09,24.62,,"Red,Blue,Black","S,M,L"
PROD-0108,Fashion,SubCat-7,1116.46,704.47,0.37,,248,125,32,4.3,6968,0.02,24.65,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0109,Beauty,SubCat-8,966.34,579.67,0.4,Back-to-School,683,124,16,3.0,804,0.21,21.29,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0110,Home & Living,SubCat-9,421.76,269.18,0.36,Summer,1517,99,15,4.1,2313,0.12,28.56,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0111,Fashion,SubCat-10,369.9,194.64,0.47,Back-to-School,1675,24,40,3.0,14731,0.14,22.47,,"Red,Blue,Black","S,M,L"
PROD-0112,Fashion,SubCat-11,760.94,383.96,0.5,Summer,1755,58,34,4.4,10086,0.17,4.91,,"Red,Blue,Black","S,M,L"
PROD-0113,Beauty,SubCat-12,542.22,225.33,0.58,Back-to-School,1891,70,15,3.3,12380,0.0,25.4,,"Red,Blue,Black","S,M,L"
PROD-0114,Electronics,SubCat-13,1233.76,584.33,0.53,Summer,808,78,37,1.5,9509,0.07,20.19,,"Red,Blue,Black","S,M,L"
PROD-0115,Fashion,SubCat-14,1387.6,813.94,0.41,Holiday,63,174,28,1.8,2740,0.16,10.97,,"Red,Blue,Black","S,M,L"
PROD-0116,Sports,SubCat-15,345.45,235.31,0.32,Summer,1281,111,9,1.7,5534,0.24,19.84,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0117,Electronics,SubCat-16,1311.35,836.31,0.36,Holiday,1684,196,27,4.7,4448,0.15,34.54,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0118,Beauty,SubCat-17,718.16,527.41,0.27,Winter,640,136,14,4.1,14386,0.01,36.66,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0119,Sports,SubCat-18,437.98,280.76,0.36,Back-to-School,1777,192,40,1.6,9864,0.18,0.48,,"Red,Blue,Black","S,M,L"
PROD-0120,Electronics,SubCat-19,1100.81,748.17,0.32,,1200,192,24,4.4,13277,0.08,2.14,,"Red,Blue,Black","S,M,L"
PROD-0121,Electronics,SubCat-20,369.93,157.78,0.57,,84,198,44,3.9,13479,0.16,29.91,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0122,Beauty,SubCat-21,378.65,267.21,0.29,Winter,548,123,41,2.1,5619,0.09,28.04,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0123,Fashion,SubCat-22,932.18,516.57,0.45,Summer,1108,198,4,4.7,4540,0.15,24.27,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0124,Sports,SubCat-23,1215.17,737.69,0.39,Summer,1391,198,44,1.0,855,0.17,15.73,,"Red,Blue,Black","S,M,L"
PROD-0125,Home & Living,SubCat-24,1111.67,812.96,0.27,Back-to-School,272,115,5,1.8,905,0.25,20.89,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0126,Beauty,SubCat-25,539.78,338.8,0.37,Summer,12,196,20,4.7,8694,0.08,38.92,,"Red,Blue,Black","S,M,L"
PROD-0127,Fashion,SubCat-26,27.3,20.44,0.25,Summer,1397,23,17,2.3,8270,0.17,16.5,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0128,Home & Living,SubCat-27,1063.48,433.26,0.59,Winter,1341,37,37,2.9,9194,0.11,27.76,,"Red,Blue,Black","S,M,L"
PROD-0129,Fashion,SubCat-28,395.52,278.6,0.3,Holiday,1323,100,24,1.1,8133,0.05,23.89,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0130,Home & Living,SubCat-29,466.82,306.43,0.34,,361,85,42,4.6,12191,0.24,4.27,,"Red,Blue,Black","S,M,L"
PROD-0131,Fashion,SubCat-30,1470.85,1034.32,0.3,Summer,1636,72,12,3.1,12050,0.01,4.25,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0132,Home & Living,SubCat-31,282.19,162.69,0.42,Back-to-School,1284,149,4,2.3,5333,0.09,14.13,,"Red,Blue,Black","S,M,L"
PROD-0133,Fashion,SubCat-32,843.22,534.33,0.37,Holiday,347,103,34,4.7,14058,0.03,9.94,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0134,Home & Living,SubCat-33,1179.71,563.07,0.52,Summer,1051,116,20,4.7,10278,0.17,24.31,,"Red,Blue,Black","S,M,L"
PROD-0135,Sports,SubCat-34,1008.24,593.33,0.41,Winter,1407,145,18,4.9,11878,0.04,17.53,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0136,Electronics,SubCat-35,299.13,215.11,0.28,Summer,530,179,41,1.8,10067,0.05,2.45,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0137,Sports,SubCat-36,1387.02,788.86,0.43,,479,95,12,2.2,1116,0.01,1.17,,"Red,Blue,Black","S,M,L"
PROD-0138,Home & Living,SubCat-37,1353.1,954.27,0.29,Winter,321,146,29,2.7,8815,0.17,35.84,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0139,Electronics,SubCat-38,83.74,34.25,0.59,Back-to-School,1977,21,33,1.6,5379,0.25,5.42,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0140,Home & Living,SubCat-39,140.15,78.26,0.44,Winter,915,94,13,4.9,9972,0.15,36.65,,"Red,Blue,Black","S,M,L"
PROD-0141,Home & Living,SubCat-40,504.89,250.35,0.5,Winter,786,175,21,4.0,13322,0.05,31.76,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0142,Electronics,SubCat-41,105.92,59.88,0.43,,426,173,18,4.5,6887,0.18,18.88,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0143,Home & Living,SubCat-42,75.04,51.1,0.32,Summer,1648,105,44,2.8,5804,0.04,1.35,,"Red,Blue,Black","S,M,L"
PROD-0144,Fashion,SubCat-43,549.8,385.62,0.3,Winter,1438,37,44,2.1,1083,0.2,31.34,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0145,Electronics,SubCat-44,469.48,233.88,0.5,,999,178,6,3.8,1878,0.15,6.2,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0146,Home & Living,SubCat-45,1328.61,875.08,0.34,Summer,287,86,4,4.0,8800,0.13,27.87,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0147,Sports,SubCat-46,1338.36,692.3,0.48,Back-to-School,51,88,33,1.7,14507,0.18,18.39,,"Red,Blue,Black","S,M,L"
PROD-0148,Beauty,SubCat-47,535.53,321.37,0.4,Holiday,582,198,42,1.9,14341,0.18,20.69,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0149,Fashion,SubCat-48,1279.27,533.3,0.58,Back-to-School,1649,46,18,2.2,3042,0.15,32.45,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0150,Electronics,SubCat-49,492.1,279.28,0.43,,1674,191,5,3.7,11137,0.24,21.85,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0151,Sports,SubCat-0,341.41,187.3,0.45,,119,165,39,2.6,1354,0.24,27.72,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0152,Home & Living,SubCat-1,349.75,261.88,0.25,,1333,121,20,2.0,4905,0.25,9.74,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0153,Beauty,SubCat-2,1300.45,875.84,0.33,,593,22,39,3.7,6366,0.02,4.08,,"Red,Blue,Black","S,M,L"
PROD-0154,Home & Living,SubCat-3,1273.33,738.95,0.42,Winter,1544,127,16,4.7,11283,0.0,1.34,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0155,Electronics,SubCat-4,1186.78,799.2,0.33,,473,101,24,3.2,68,0.02,15.36,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0156,Home & Living,SubCat-5,1304.92,544.23,0.58,Summer,1195,106,41,4.2,9372,0.04,28.51,,"Red,Blue,Black","S,M,L"
PROD-0157,Beauty,SubCat-6,217.02,139.35,0.36,Holiday,1357,146,22,1.1,12955,0.21,21.03,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0158,Fashion,SubCat-7,1020.25,616.48,0.4,Summer,1380,185,25,3.2,3934,0.13,28.83,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0159,Electronics,SubCat-8,903.87,502.79,0.44,Back-to-School,143,196,31,2.2,4905,0.16,17.48,,"Red,Blue,Black","S,M,L"
PROD-0160,Home & Living,SubCat-9,877.45,504.01,0.43,Back-to-School,1944,122,9,3.7,1574,0.21,2.19,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0161,Fashion,SubCat-10,367.2,270.39,0.26,Back-to-School,415,97,15,2.2,7870,0.03,9.38,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0162,Sports,SubCat-11,265.45,198.82,0.25,,419,26,4,2.3,10126,0.15,12.7,,"Red,Blue,Black","S,M,L"
PROD-0163,Home & Living,SubCat-12,263.07,182.95,0.3,,1590,92,39,2.7,14359,0.15,17.15,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0164,Fashion,SubCat-13,388.41,281.0,0.28,,661,40,35,3.7,14980,0.03,6.88,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0165,Sports,SubCat-14,1172.51,653.44,0.44,,220,55,9,4.9,10790,0.19,13.52,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0166,Sports,SubCat-15,260.5,194.1,0.25,Back-to-School,1899,135,34,2.1,11755,0.07,9.05,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0167,Beauty,SubCat-16,530.11,289.91,0.45,Back-to-School,1177,163,7,3.2,5967,0.09,15.95,10x20x5,"Red,Blue,Black","S,M,L"
PROD-0168,Beauty,SubCat-17,408.72,188.26,0.54,,1234,186,26,1.3,1532,0.13,0.64,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0169,Beauty,SubCat-18,1151.29,494.92,0.57,,786,194,8,3.2,6420,0.04,11.85,30x40x10,"Red,Blue,Black","S,M,L"
PROD-0170,Home & Living,SubCat-19,612.99,250.32,0.59,Winter,1481,124,26,3.6,897,0.17,22.86,,"Red,Blue,Black","S,M,L"
PROD-0171,Fashion,SubCat-20,464.02,200.24,0.57,Summer,189,118,37,2.0,9769,0.06,32.95,,"Red,Blue,Black","S,M,L"
PROD-0172,Sports,SubCat-21,1111.53,508.8,0.54,Back-to-School,139,126,43,2.9,9306,0.22,5.73,,"Red,Blue,Black","S,M,L"
PROD-0173,Beauty,SubCat-22,1087.49,785.4,0.28,Holiday,662,126,4,1.9,264,0.05,6.74,10x20x5,"Red,Blue,Black","S,M,L"
